year,month,app_name,cust_vol_mn,cust_val_cr,b2c_vol_mn,b2c_val_cr,b2b_vol_mn,b2b_val_cr,onus_vol_mn,onus_val_cr,total_vol_mn,total_val_cr,app_name_std
2022,8,PhonePe,3146.71,528433.49,0.0,0.0,0.0,0.0,0.0,0.0,3146.71,528433.49,PhonePe
2022,8,Punjab National Bank Apps,0.09,43.41,0.0,0.0,0.0,0.0,0.0,0.0,0.09,43.41,Punjab National Bank Apps
2022,8,Punjab Sind Bank Apps,0.01,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.01,5.25,Punjab Sind Bank Apps
2022,8,RBL Bank Apps,0.82,162.46,0.0,0.0,0.01,0.56,0.0,0.0,0.82,163.02,RBL Bank Apps
2022,8,Samsung Pay,4.09,468.37,0.0,0.0,0.0,0.0,0.0,0.0,4.09,468.37,Samsung Pay
2022,8,South Indian Bank Apps,0.16,52.73,0.0,0.0,0.0,0.0,0.0,0.0,0.16,52.73,South Indian Bank Apps
2022,8,Standard Chartered Bank Apps,0.14,73.6,0.0,0.0,0.0,0.0,0.0,0.0,0.14,73.6,Standard Chartered Bank Apps
2022,8,State Bank of India Apps,4.1,1926.51,0.0,0.0,0.0,0.0,0.0,0.0,4.1,1926.51,State Bank of India Apps
2022,8,Tamilnad Mercantile Bank Apps,0.06,7.94,0.0,0.0,0.0,0.0,0.0,0.0,0.06,7.94,Tamilnad Mercantile Bank Apps
2022,8,TataNeu,0.1,15.78,0.0,0.0,0.0,0.0,0.0,0.0,0.1,15.78,TataNeu
2022,8,TJSB Bank Apps,0.01,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.2,TJSB Bank Apps
2022,8,UCO Bank Apps,0.25,65.69,0.0,0.0,0.0,0.0,0.0,0.0,0.25,65.69,UCO Bank Apps
2022,8,Ultracash,0.02,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.54,Ultracash
2022,8,Union Bank Apps,0.52,215.23,0.0,0.0,0.0,0.0,0.0,0.0,0.52,215.23,Union Bank Apps
2022,8,Utkarsh Small Finance Bank Apps,0.02,4.71,0.0,0.0,0.0,0.0,0.0,0.0,0.02,4.71,Utkarsh Small Finance Bank Apps
2022,8,WhatsApp,6.72,567.17,0.0,0.0,0.0,0.0,0.0,0.0,6.72,567.17,WhatsApp Pay
2022,8,Yes Bank Apps,54.6,13008.95,0.0,0.0,3.2,3225.97,0.0,0.0,57.8,16234.92,Yes Bank Apps
2022,8,Others,0.01,5.72,0.0,0.0,0.0,0.0,0.0,0.0,0.01,5.72,Others
2022,12,Airtel Payments Bank Apps,8.69,681.55,0.0,0.0,0.0,0.0,0.0,0.12,8.7,681.67,Airtel Payments Bank Apps
2022,12,Allahabad Bank Apps,0.03,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.03,9.75,Allahabad Bank Apps
2022,12,Amazon Pay,69.61,6621.66,0.0,0.0,0.0,0.0,0.0,0.0,69.61,6621.66,Amazon Pay
2022,12,AU Small Finance Bank Apps,0.58,177.47,0.0,0.0,0.0,0.0,0.0,0.0,0.58,177.47,AU Small Finance Bank Apps
2022,12,Axis Bank Apps,7.26,1246.36,58.27,56.3,0.03,2.44,0.0,0.0,65.56,1305.09,Axis Bank
2022,12,Bajaj Finserv,4.56,647.71,0.0,0.0,0.0,0.0,0.0,0.0,4.56,647.71,Bajaj Finserv
2022,12,Bandhan Bank Apps,0.01,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.53,Bandhan Bank Apps
2022,12,Bank of Baroda Apps,1.02,397.56,0.0,0.0,0.0,0.0,0.0,0.0,1.02,397.56,Bank of Baroda Apps
2022,12,Bank of India Apps,0.22,64.32,0.0,0.0,0.0,0.0,0.0,0.0,0.22,64.32,Bank of India Apps
2022,12,Bank of Maharashtra Apps,0.08,19.91,0.0,0.0,0.0,0.0,0.0,0.0,0.08,19.91,Bank of Maharashtra Apps
2022,12,BHIM,25.5,8400.04,0.0,0.0,0.0,0.0,0.0,0.0,25.5,8400.04,BHIM
2022,12,Canara Bank Apps,1.02,275.7,0.0,0.0,0.0,0.0,0.0,0.0,1.02,275.7,Canara Bank Apps
2022,12,Central Bank of India Apps,0.26,60.28,0.0,0.0,0.0,0.05,0.0,0.0,0.26,60.32,Central Bank of India Apps
2022,12,Citi Bank Apps,0.09,68.38,0.0,0.0,0.0,0.0,0.0,0.0,0.09,68.38,Citi Bank Apps
2022,12,City Union Bank Apps,0.05,14.38,0.0,0.0,0.0,0.0,0.0,0.0,0.05,14.38,City Union Bank Apps
